test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
106,42,50,1000,32,0.713685585,0.7533022199999999,0.532132605,0.5139333333333334,0.7569342579010534,0.5001371177841766,0.33971481222262656
107,42,50,1000,64,0.6349111049999999,0.893421635,0.7976616950000002,0.5222666666666667,0.7441485117594644,0.5350648176421537,0.4016807177720654
108,42,50,1000,128,0.835160615,0.9048450750000001,0.905532015,0.5318666666666667,0.7483376184023725,0.5444069741232749,0.4198992244945391
109,42,100,50,32,0.735453375,0.894619715,0.9047815149999999,0.4928666666666667,0.744731543624161,0.5064876086674451,0.34142614907631336
110,42,100,50,64,0.87145343,0.890428165,0.959117125,0.5545333333333333,0.7609302325581395,0.5664979888413131,0.4602938689383511
111,42,100,50,128,0.58349794,0.9131095650000001,0.755325845,0.5218,0.7520738282870179,0.5346438302841573,0.39996961452150825
112,42,100,100,32,0.8768600299999999,0.89489304,0.981318055,0.9870666666666666,0.9870442099639375,0.9874140391851564,0.9870638839643728
113,42,100,100,64,0.8171984750000001,0.81612336,0.9687857449999999,0.9946666666666667,0.9946024542545259,0.9947399397631806,0.9946633844346293
114,42,100,100,128,0.878890355,0.913059605,0.9818057049999999,0.9949333333333333,0.9948759496469979,0.9949957613044647,0.9949301137527709
115,42,100,500,32,0.869603215,0.931167535,0.9739415650000001,0.9923333333333333,0.9924577481816403,0.9922225287668467,0.9923257668464132
116,42,100,500,64,0.8685686699999999,0.9156630849999999,0.9757639950000001,0.9921333333333333,0.9920369058438075,0.9923262077453454,0.9921300581783448
117,42,100,500,128,0.86653921,0.9263945499999999,0.983710485,0.9955333333333334,0.9954510163960175,0.9956459365819841,0.9955308862253949
118,42,100,1000,32,0.697014595,0.5943320299999999,0.8542048449999999,0.5804666666666667,0.7684012954511998,0.5917347865576749,0.5043251991328025
119,42,100,1000,64,0.64921221,0.927853675,0.9477003549999999,0.5161333333333333,0.7506013332417016,0.5291293629168289,0.3889189193800905
120,42,100,1000,128,0.87204587,0.926389475,0.9791195149999999,0.9983333333333333,0.9983788309361159,0.9982897105032063,0.9983319175464975
121,42,150,50,32,0.84690973,0.91218103,0.954950665,0.5206666666666667,0.7508148009770028,0.5335372540052777,0.39786589604220857
122,42,150,50,64,0.88172079,0.886852405,0.9276533950000001,0.7964666666666667,0.852455055093756,0.8019333073828987,0.7899655679747717
123,42,150,50,128,0.872251775,0.9115019349999999,0.979895525,0.9959333333333333,0.9958646068255064,0.9960167790749614,0.995930897496235
124,42,150,100,32,0.853843955,0.8993014,0.971982575,0.9946666666666667,0.9945796135958681,0.9947914990389746,0.9946638601891526
125,42,150,100,64,0.885903395,0.8982453349999999,0.9789648950000001,0.9922,0.9921052631578947,0.9924094978590892,0.9921969408887059
126,42,150,100,128,0.888150765,0.933368785,0.9799337749999999,0.9995333333333334,0.9995462794918331,0.9995200877553818,0.9995329654325611
127,42,150,500,32,0.85749316,0.950480695,0.9835035449999999,0.9998666666666667,0.9998629198080877,0.999870247826651,0.9998665660016861
128,42,150,500,64,0.8882405099999999,0.9244123900000001,0.9803238750000001,0.9994666666666666,0.9994776053240169,0.9994552116687074,0.9994662482052596
129,42,150,500,128,0.8635052299999999,0.9529286400000001,0.985259455,0.9996,0.9996071913202627,0.9995923294528841,0.9995996891381554
130,42,150,1000,32,0.72343051,0.564768705,0.8134269350000001,0.9806666666666667,0.9811524034204824,0.9803536208408784,0.9806381164075967
131,42,150,1000,64,0.8533165450000001,0.8786201650000001,0.979070775,0.9957333333333334,0.995663544356709,0.9958184680095243,0.9957307916174307
132,42,150,1000,128,0.8831990650000001,0.9190417699999999,0.9821858549999999,0.9991333333333333,0.9991345165462019,0.9991308312353351,0.9991326694399747
133,42,200,50,32,0.8428275500000001,0.9308722650000001,0.9731853750000001,0.9605333333333334,0.9643330521749609,0.9594131358837241,0.9603550126470188
134,42,200,50,64,0.8658175750000001,0.9321352599999999,0.9762308050000001,0.9938666666666667,0.9941018079240929,0.9936925819278761,0.9938596793638471
135,42,200,50,128,0.8419473949999999,0.869341245,0.9619634950000001,0.9637333333333333,0.96529284164859,0.9647074088490982,0.9637306090990835
136,42,200,100,32,0.79775459,0.926960105,0.965332075,0.9932,0.993103448275862,0.993382639159206,0.993197056774643
137,42,200,100,64,0.86050551,0.932715935,0.978081995,0.9984666666666666,0.9984432072630854,0.9984894359794183,0.9984655700539122
138,42,200,100,128,0.88416829,0.92403323,0.982840175,0.995,0.9949414899388308,0.995064320196553,0.9949968395813905
139,42,200,500,32,0.83949986,0.9476664,0.979017425,0.9991333333333333,0.9991539340722284,0.9991124172082659,0.9991326370336187
140,42,200,500,64,0.87650478,0.94630236,0.9786178950000001,0.9954,0.9953221288515406,0.9955014531869797,0.9953973928992339
141,42,200,500,128,0.85862869,0.9415040849999999,0.975110395,0.9983333333333333,0.9982918830281498,0.9983780978331387,0.9983322116826846
142,42,200,1000,32,0.85274688,0.912988755,0.9677513249999998,0.9943333333333333,0.9942396313364055,0.9944855326326716,0.9943306059516392
143,42,200,1000,64,0.8915331649999999,0.9384042100000001,0.9798931849999999,0.9963333333333333,0.996424916573971,0.9962513577676264,0.9963299267060561
144,42,200,1000,128,0.8828339650000001,0.922680695,0.982799845,0.999,0.9990164642160794,0.998982665034917,0.9989992041270901
145,100,50,50,32,0.8408980600000001,0.89383077,0.958407965,0.9897333333333334,0.9897729115081064,0.9896813129703016,0.9897245720924823
146,100,50,50,64,0.694003065,0.9109060400000001,0.944746805,0.9264666666666667,0.9343139590281087,0.9284416763980796,0.9263111927811033
147,100,50,50,128,0.85246251,0.8926302549999999,0.924883355,0.8541333333333333,0.8846113279189959,0.8580511223562994,0.852064153997808
148,100,50,100,32,0.66594464,0.88231346,0.939628205,0.6420666666666667,0.7879876796714579,0.6516802906448683,0.5982249259440011
149,100,50,100,64,0.6033601399999999,0.893195995,0.9670286950000002,0.9994,0.9994051336247618,0.9993940183874468,0.9993995359373538
150,100,50,100,128,0.82042021,0.7001690100000001,0.9483014350000001,0.7849333333333334,0.846658427607187,0.7907097443882185,0.7770997836057614
151,100,50,500,32,0.650346965,0.65475258,0.539491325,0.9050666666666667,0.9157470371023972,0.9029208756729192,0.9040553675991023
152,100,50,500,64,0.572185275,0.84930809,0.917632395,0.49146666666666666,0.7443871054218886,0.5051252108472817,0.33845289004041695
153,100,50,500,128,0.790059765,0.924972935,0.964876575,0.5648,0.7638376383763837,0.5764889061891787,0.47809124922121427
154,100,50,1000,32,0.688173025,0.880611335,0.481066855,0.5168,0.6921074665387879,0.5031146125872845,0.34717870113588745
155,100,50,1000,64,0.63578139,0.8756159149999999,0.7465448849999999,0.4911333333333333,0.7255529490616622,0.5047897819976679,0.33807447260254714
156,100,50,1000,128,0.832114675,0.90107825,0.8931963549999999,0.5273333333333333,0.744926677722954,0.5399880346185844,0.41153453400872236
157,100,100,50,32,0.7867954449999999,0.88768814,0.915908125,0.4932,0.7448136958710977,0.5068119891008175,0.3421320446390667
158,100,100,50,64,0.8710971799999998,0.9206875449999999,0.9652972350000001,0.5489333333333334,0.7593712212817412,0.5610483975606592,0.4503717954005786
159,100,100,50,128,0.5268955,0.56383175,0.7870204350000001,0.5673333333333334,0.7645650438946529,0.5789541974828079,0.4824072263203353
160,100,100,100,32,0.8752610550000001,0.9105538400000001,0.9780793650000001,0.9906666666666667,0.9905825373335126,0.9909173478655767,0.9906635513634763
161,100,100,100,64,0.815447205,0.5621284350000001,0.9691302549999999,0.9896666666666667,0.9897312643869789,0.989594340051144,0.9896573996507867
162,100,100,100,128,0.88460275,0.9240546399999999,0.983048335,0.9956,0.9955230208070653,0.995699764252417,0.9955974922533206
163,100,100,500,32,0.8682302500000001,0.9254785649999999,0.975615895,0.9918666666666667,0.9919609676369328,0.9917757617709533,0.9918590105183364
164,100,100,500,64,0.85985492,0.92489362,0.9754948649999999,0.992,0.9919061108862808,0.9922148695990658,0.991996925538915
165,100,100,500,128,0.86474953,0.9416096,0.9826012749999999,0.9954,0.9953221288515406,0.9955014531869797,0.9953973928992339
166,100,100,1000,32,0.6801289749999999,0.588549615,0.828667435,0.6709333333333334,0.7981846430615749,0.679771636174906,0.6380373929861267
167,100,100,1000,64,0.6339837050000001,0.882449495,0.9528836850000001,0.5044,0.7476064371562436,0.5177111716621253,0.3654094363975333
168,100,100,1000,128,0.865862605,0.923490525,0.978830885,0.9992,0.9992107234010663,0.999188341711182,0.9991993723078894
169,100,150,50,32,0.834197165,0.901483005,0.962844335,0.501,0.7423262703793199,0.5143951256309006,0.3586393445294672
