test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
104,42,50,500,64,0.13048026000000001,0.27692826,0.74095344,0.9890769230769231,0.9910790041936758,0.9819809226327081,0.9863994871707822
105,42,50,500,128,0.561999255,0.23754591,0.7498179899999999,0.9953076923076923,0.9940099239609577,0.9944176469370429,0.9942135199886875
106,42,50,1000,32,0.518058515,0.23785364999999997,0.61467892,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
107,42,50,1000,64,0.550946375,0.72024799,0.7496657099999999,0.9881538461538462,0.989398792037603,0.9813377668818237,0.9852651605747158
108,42,50,1000,128,0.25452572500000004,0.32206777,0.74017387,0.9957692307692307,0.9949020408430367,0.9946566184554866,0.994779233842563
109,42,100,50,32,0.55163129,0.797564705,0.75197329,0.9923846153846154,0.9937057882263434,0.9875072119963235,0.9905459900816932
110,42,100,50,64,0.27062542,0.22475869,0.76810806,0.9975384615384615,0.9973733608512574,0.9965501845006706,0.9969607034148017
111,42,100,50,128,0.577120585,0.713481715,0.79907726,0.9984615384615385,0.997938392515183,0.9982672228925371,0.9981026368939454
112,42,100,100,32,0.559460575,0.6840424,0.7736278699999999,0.9923076923076923,0.992970379409267,0.9880318601827403,0.9904625289047735
113,42,100,100,64,0.415514825,0.2076777,0.7418238699999999,0.9984615384615385,0.9984312937081492,0.9977715847505453,0.9981007541729865
114,42,100,100,128,0.18718707500000004,0.642622265,0.79904984,0.9976923076923077,0.99666607517735,0.9976486534098015,0.9971558316346842
115,42,100,500,32,0.52206619,0.26587931,0.7512460400000001,0.794,0.8884817189972516,0.6352492508853174,0.6501495953657594
116,42,100,500,64,0.543934885,0.17687366,0.73251736,0.9927692307692307,0.9934608435956105,0.988683863486177,0.9910362810266442
117,42,100,500,128,0.596715405,0.315624845,0.7564765099999999,0.9972307692307693,0.9970755486769414,0.9960879801793798,0.9965802247844555
118,42,100,1000,32,0.31657533,0.177223965,0.8300026200000001,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
